,Random Forest,Gradient Boosting,Logistic Regression,Decision Tree,SVM,Mean,Std,Score,Model_Count
Enterococcus faecalis cls with mutation conferring resistance to daptomycin,0.006334737607372227,0.0,,0.0,,0.002111579202457409,0.0029862239461402314,0.16260147762853058,1
Helicobacter pylori pbp2 mutants conferring resistance to amoxicillin,0.006218810063903615,2.828110305015123e-07,,0.0,,0.002073030958311372,0.0029315085211394074,0.1603085173645863,2
Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance,0.005867105538736887,0.0,,0.0,,0.001955701846245629,0.0027657800749186696,0.15319877318645478,1
Enterococcus faecium liaS mutant conferring daptomycin resistance,0.005573280159521435,0.0,,0.0,,0.0018577600531738117,0.0026272694628333665,0.14712286441988692,1
Pseudomonas mutant PhoP conferring resistance to colistin,0.005245617639088809,0.0,,0.0,,0.001748539213029603,0.002472807869407643,0.14018809808802452,1
Clostridioides difficile murG with mutation conferring resistance to vancomycin,0.004525667942237689,6.468105702364645e-10,,0.0,,0.0015085561963494197,0.002133420175115195,0.12433066477359483,2
Escherichia coli murA with mutation conferring resistance to fosfomycin,0.0038774562177730297,0.0,,0.0,,0.0012924854059243433,0.0018278503902275011,0.10927475097184444,1
LpxA,0.0034548330794645444,0.0,,0.0,,0.0011516110264881815,0.0016286239322379876,0.09903244211858764,1
Helicobacter pylori rdxA mutation conferring resistance to metronidazole,0.0033733739933101982,0.0,,0.0,,0.0011244579977700662,0.001590223750765323,0.09701779896145803,1
Escherichia coli EF-Tu mutants conferring resistance to kirromycin,0.0033214561622022165,0.0,,0.0,,0.0011071520540674054,0.001565749450471355,0.09572678872291186,1
Staphylococcus aureus rpoB mutants conferring resistance to rifampicin,0.003288413485764562,0.0,,0.0,,0.0010961378285881873,0.0015501729834196093,0.09490228675896926,1
Staphylococcus aureus murA with mutation conferring resistance to fosfomycin,0.0030598669623059867,0.0,,0.0,,0.0010199556541019956,0.0014424351190501633,0.08913798885378012,1
Mycobacterium tuberculosis mshA mutations conferring resistance to prothionamide,0.002889146500507173,0.0,,0.0,,0.000963048833502391,0.0013619567215666702,0.08476082571889948,1
Staphylococcus aureus ileS with mutation conferring resistance to mupirocin,0.0028113740103616726,0.0,,0.0,,0.0009371246701205576,0.001325294418118905,0.08274616407510675,1
Staphylococcus aureus fusE with mutation conferring resistance to fusidic acid,0.0028032356931555354,0.0,,0.0,,0.0009344118977185118,0.0013214579785963006,0.08253459046397181,1
Staphylococcus aureus parE conferring resistance to fluoroquinolones,0.0026676829268292685,0.0,,0.0,,0.0008892276422764228,0.0012575577917443683,0.07898939172477801,1
Clostridioides difficile EF-Tu mutants conferring resistance to elfamycin,0.002356889564336373,0.0,,0.0,,0.000785629854778791,0.0011110483956333712,0.07070708602867237,1
Neisseria gonorrhoeae PBP1 conferring resistance to beta-lactam antibiotics,0.0020573399599436246,1.1719547490865061e-09,,0.0,,0.0006857803772994578,0.0009698390816891994,0.06251508086788246,2
Escherichia coli parE conferring resistance to fluoroquinolones,0.0018945340373911804,0.0,,0.0,,0.0006315113457970601,0.0008930919100186881,0.05797356260404276,1
Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin,0.0018608945585112254,0.0,,0.0,,0.0006202981861704084,0.0008772341075976227,0.05702719827801971,1
Salmonella serovars soxS with mutation conferring antibiotic resistance,0.0017123287671232878,0.0,,0.0,,0.0005707762557077626,0.0008071995219024515,0.052814446013603876,1
Neisseria gonorrhoeae pilQ gene conferring resistance to beta-lactam,0.001609538002980626,0.0,,0.0,,0.0005365126676602086,0.0007587434909900362,0.04986759542222694,1
